user_id,ideology,bloc,activity_rate,bloc_probs
user_00000,0.633217982292962,Right-Traditional,1.056598791313422,"[0.05, 0.2, 0.65, 0.1]"
user_00001,0.7295788421097572,Right-Traditional,1.2349072367156066,"[0.05, 0.2, 0.65, 0.1]"
user_00002,0.9224667621426992,Right-Radical-Conservative,0.18594754792266266,"[0.05, 0.2, 0.65, 0.1]"
user_00003,0.3741050078151498,Right-Traditional,1.2817684014004729,"[0.1, 0.7, 0.1, 0.1]"
user_00004,-0.9301987154844605,Right-Libertarian,1.1001308688849307,"[0.7, 0.1, 0.1, 0.1]"
user_00005,0.8436551001893273,Right-Traditional,0.4867214123838875,"[0.05, 0.2, 0.65, 0.1]"
user_00006,0.4541099092336087,Right-Traditional,1.110769045492845,"[0.1, 0.7, 0.1, 0.1]"
user_00007,0.9107699869993116,Right-Traditional,0.9489177871785353,"[0.05, 0.2, 0.65, 0.1]"
user_00008,-0.9018170685730215,Right-Radical-Conservative,0.17219139087276225,"[0.7, 0.1, 0.1, 0.1]"
user_00009,0.2738895390636866,Left,0.9231535045629116,"[0.1, 0.7, 0.1, 0.1]"
user_00010,0.9546499283743927,Right-Traditional,1.5906048909014443,"[0.05, 0.2, 0.65, 0.1]"
user_00011,0.5662526862807128,Left,1.6349772593632077,"[0.1, 0.7, 0.1, 0.1]"
user_00012,0.6625051644788396,Right-Traditional,2.051131228603605,"[0.1, 0.7, 0.1, 0.1]"
user_00013,-0.5054072932488425,Right-Traditional,1.4596070383727586,"[0.7, 0.1, 0.1, 0.1]"
user_00014,0.8130570602357258,Right-Radical-Conservative,0.6548423512877886,"[0.05, 0.2, 0.65, 0.1]"
user_00015,0.7955788089483032,Left,0.5415618086593531,"[0.1, 0.7, 0.1, 0.1]"
user_00016,0.6830804235404149,Right-Traditional,1.064063807661532,"[0.1, 0.7, 0.1, 0.1]"
user_00017,0.5381422907110844,Right-Radical-Conservative,1.3477252196096372,"[0.05, 0.15, 0.15, 0.65]"
user_00018,0.6010226913284922,Right-Radical-Conservative,0.6908946635753682,"[0.05, 0.15, 0.15, 0.65]"
user_00019,-0.609412734693298,Left,0.7306718277581402,"[0.7, 0.1, 0.1, 0.1]"
user_00020,0.49628983909767194,Right-Traditional,0.15263044184328392,"[0.1, 0.7, 0.1, 0.1]"
user_00021,-0.6879539580117947,Left,3.6489988943914353,"[0.7, 0.1, 0.1, 0.1]"
user_00022,0.49305764605895136,Right-Traditional,0.28369326620021806,"[0.1, 0.7, 0.1, 0.1]"
user_00023,0.679725823497546,Right-Radical-Conservative,2.0839896835569065,"[0.05, 0.2, 0.65, 0.1]"
user_00024,0.40131350355933465,Left,1.582555822560985,"[0.1, 0.7, 0.1, 0.1]"
user_00025,0.5674004853400801,Right-Traditional,0.8783786468040737,"[0.05, 0.2, 0.65, 0.1]"
user_00026,0.34334934153275254,Right-Radical-Conservative,0.6422516089348198,"[0.1, 0.7, 0.1, 0.1]"
user_00027,0.8727773048834211,Right-Traditional,3.781743639885175,"[0.05, 0.15, 0.15, 0.65]"
user_00028,0.6144573933682878,Right-Radical-Conservative,0.23855732872819363,"[0.05, 0.2, 0.65, 0.1]"
user_00029,0.8339432404248313,Right-Traditional,1.50873883489005,"[0.05, 0.2, 0.65, 0.1]"
user_00030,0.5349666023982943,Right-Traditional,0.26879989091102496,"[0.1, 0.7, 0.1, 0.1]"
user_00031,-0.8949363340454642,Right-Traditional,1.4516389526011308,"[0.7, 0.1, 0.1, 0.1]"
user_00032,0.6698538365030938,Right-Radical-Conservative,0.9310772159504492,"[0.05, 0.2, 0.65, 0.1]"
user_00033,-0.7154203418828208,Left,1.073512972861151,"[0.7, 0.1, 0.1, 0.1]"
user_00034,0.5890392099227677,Right-Radical-Conservative,0.8112426618047752,"[0.05, 0.2, 0.65, 0.1]"
user_00035,-0.9141784996122224,Right-Libertarian,1.1851755575086458,"[0.7, 0.1, 0.1, 0.1]"
user_00036,0.594647524914709,Right-Radical-Conservative,0.7872009397131302,"[0.1, 0.7, 0.1, 0.1]"
user_00037,0.4106970095865958,Right-Traditional,1.5173825537996608,"[0.1, 0.7, 0.1, 0.1]"
user_00038,0.83464305844177,Right-Traditional,0.4126367476559367,"[0.05, 0.2, 0.65, 0.1]"
user_00039,0.9624576864762916,Right-Radical-Conservative,1.7154292152242043,"[0.05, 0.2, 0.65, 0.1]"
user_00040,0.6047863628931673,Right-Libertarian,1.5323653586906159,"[0.05, 0.15, 0.15, 0.65]"
user_00041,0.5369461510719309,Right-Traditional,1.4255228249867344,"[0.05, 0.15, 0.15, 0.65]"
user_00042,0.9629317133347017,Right-Traditional,0.1157421595356351,"[0.1, 0.7, 0.1, 0.1]"
