month_date,from_bloc,attack_rate,count
2024-06-01,Left-PC,0.3154761904761904,168
2024-06-01,Libertarian right,0.2887323943661972,142
2024-06-01,Republican right,0.30769230769230776,169
2024-06-01,Traditional right,0.22746781115879833,233
2024-07-01,Left-PC,0.28823529411764715,170
2024-07-01,Libertarian right,0.25,156
2024-07-01,Republican right,0.2568306010928961,183
2024-07-01,Traditional right,0.27477477477477474,222
2024-08-01,Left-PC,0.3063583815028902,173
2024-08-01,Libertarian right,0.23841059602649012,151
2024-08-01,Republican right,0.22826086956521743,184
2024-08-01,Traditional right,0.21198156682027647,217
2024-09-01,Left-PC,0.3229813664596274,161
2024-09-01,Libertarian right,0.2622950819672131,122
2024-09-01,Republican right,0.32065217391304346,184
2024-09-01,Traditional right,0.2820512820512821,195
2024-10-01,Left-PC,0.29310344827586204,174
2024-10-01,Libertarian right,0.27272727272727276,154
2024-10-01,Republican right,0.2666666666666667,180
2024-10-01,Traditional right,0.2599118942731278,227
2024-11-01,Left-PC,0.3389830508474576,177
2024-11-01,Libertarian right,0.25517241379310346,145
2024-11-01,Republican right,0.23809523809523805,189
2024-11-01,Traditional right,0.21860465116279076,215
2024-12-01,Left-PC,0.24683544303797467,158
2024-12-01,Libertarian right,0.31578947368421045,152
2024-12-01,Republican right,0.3163841807909605,177
2024-12-01,Traditional right,0.24324324324324328,222
